Hello!
2.4000000953674;1665750230.7168;sonar left;0.23
2.4000000953674;1665750230.7172;sonar right;0.22
2.4000000953674;1665750230.7175;sonar back;0.24
2.4000000953674;1665750230.7187;sonar left;0.22
2.4000000953674;1665750230.719;sonar right;0.22
2.4000000953674;1665750230.7192;sonar back;0.23
2.5999999046326;1665750230.9091;sonar left;0.23
2.5999999046326;1665750230.9094;sonar right;0.22
2.5999999046326;1665750230.9095;sonar back;0.26
2.5999999046326;1665750230.9114;sonar left;0.23
2.5999999046326;1665750230.9116;sonar right;0.22
2.5999999046326;1665750230.9118;sonar back;0.27
2.5999999046326;1665750230.9138;sonar left;0.23
2.5999999046326;1665750230.9141;sonar right;0.22
2.5999999046326;1665750230.9145;sonar back;0.26
2.5999999046326;1665750230.9162;sonar left;0.23
2.5999999046326;1665750231.1094;sonar right;0.23
2.5999999046326;1665750231.1097;sonar back;0.28
2.7999999523163;1665750231.1102;robot pose;0.36680555343628;-9.9672070064116e-06;-0.014107927485907
2.7999999523163;1665750231.1103;marks;2;0;2
2.7999999523163;1665750231.1107;sonar left;0.24
2.7999999523163;1665750231.1109;sonar right;0.23
2.7999999523163;1665750231.1111;sonar back;0.27
2.7999999523163;1665750231.1115;battery;92.18302315619
2.7999999523163;1665750231.1136;sonar left;0.24
2.7999999523163;1665750231.114;sonar right;0.23
2.7999999523163;1665750231.1144;sonar back;0.26
2.7999999523163;1665750231.116;sonar left;0.25
2.7999999523163;1665750231.1164;sonar right;0.23
2.7999999523163;1665750231.1168;sonar back;0.29
2.7999999523163;1665750231.118;sonar left;0.21
2.7999999523163;1665750231.1182;sonar right;0.24
2.7999999523163;1665750231.1184;sonar back;0.28
3;1665750231.3045;sonar left;0.25
3;1665750231.3047;sonar right;0.22
3;1665750231.3049;sonar back;0.31
3;1665750231.3072;sonar left;0.22
3;1665750231.3074;sonar right;0.24
3;1665750231.3076;sonar back;0.3
3;1665750231.3099;sonar left;0.23
3;1665750231.3102;sonar right;0.22
3;1665750231.3104;sonar back;0.29
3;1665750231.312;sonar left;0.25
3;1665750231.3123;sonar right;0.24
3;1665750231.3125;sonar back;0.29
3.2000000476837;1665750231.5221;sonar left;0.24
3.2000000476837;1665750231.5223;sonar right;0.23
3.2000000476837;1665750231.5225;sonar back;0.34
3.2000000476837;1665750231.5252;sonar left;0.23
3.2000000476837;1665750231.5256;sonar right;0.24
3.2000000476837;1665750231.5259;sonar back;0.32
3.2000000476837;1665750231.5271;sonar left;0.23
3.2000000476837;1665750231.5276;sonar right;0.25
3.2000000476837;1665750231.5279;sonar back;0.32
3.2000000476837;1665750231.5295;sonar left;0.23
3.2000000476837;1665750231.5297;sonar right;0.22
3.2000000476837;1665750231.5299;sonar back;0.32
3.4000000953674;1665750231.7214;robot pose;0.45130985975266;-3.373742219992e-05;-0.0071479272023139
3.4000000953674;1665750231.7214;marks;2;0;2
3.4000000953674;1665750231.722;sonar left;0.24
3.4000000953674;1665750231.7222;sonar right;0.24
3.4000000953674;1665750231.7225;sonar back;0.34
3.4000000953674;1665750231.7251;sonar left;0.22
3.4000000953674;1665750231.7253;sonar right;0.24
3.4000000953674;1665750231.7255;sonar back;0.36
3.4000000953674;1665750231.7269;sonar left;0.21
